Date,Open,High,Low,Close,Volume,MarketCap,UsdPrice,AtoRate,AudPrice
30/06/2018,6214.22,6465.51,6214.22,6404.00,4543860000.00,106405000000.00,6404,0.7714,8301.788955
29/06/2018,5898.13,6261.66,5835.75,6218.30,3966230000.00,100981000000.00,6218.3,0.7714,8061.057817
28/06/2018,6153.16,6170.41,5873.05,5903.44,3467800000.00,105336000000.00,5903.44,0.7701,7665.809635
27/06/2018,6084.40,6180.00,6052.85,6157.13,3296220000.00,104149000000.00,6157.13,0.7758,7936.491364
26/06/2018,6253.55,6290.16,6093.67,6093.67,3279760000.00,107033000000.00,6093.67,0.7771,7841.551924
25/06/2018,6171.97,6327.37,6119.68,6249.18,5500810000.00,105625000000.00,6249.18,0.779,8022.053915
24/06/2018,6164.28,6223.78,5826.41,6173.23,4566910000.00,105480000000.00,6173.23,0.7746,7969.571392
23/06/2018,6090.10,6224.82,6071.81,6162.48,3431360000.00,104198000000.00,6162.48,0.7746,7955.693261
22/06/2018,6737.88,6747.08,6006.60,6083.69,5079810000.00,115269000000.00,6083.69,0.7746,7853.976246
21/06/2018,6780.09,6810.94,6715.17,6729.74,3529130000.00,115977000000.00,6729.74,0.7725,8711.63754
20/06/2018,6770.76,6821.56,6611.88,6776.55,3888640000.00,115804000000.00,6776.55,0.7742,8752.970809
19/06/2018,6742.39,6822.50,6709.92,6769.94,4057030000.00,115306000000.00,6769.94,0.7782,8699.485993
18/06/2018,6510.07,6781.14,6446.68,6734.82,4039200000.00,111319000000.00,6734.82,0.7821,8611.200614
17/06/2018,6545.53,6589.11,6499.27,6499.27,3104020000.00,111913000000.00,6499.27,0.7838,8292.00051
16/06/2018,6455.45,6592.49,6402.29,6550.16,3194170000.00,110359000000.00,6550.16,0.7838,8356.927788
15/06/2018,6674.08,6681.08,6433.87,6456.58,3955390000.00,114084000000.00,6456.58,0.7838,8237.535085
14/06/2018,6342.75,6707.14,6334.46,6675.35,5138710000.00,108408000000.00,6675.35,0.7937,8410.419554
13/06/2018,6596.88,6631.66,6285.63,6349.90,5052350000.00,112740000000.00,6349.9,0.7934,8003.403075
12/06/2018,6905.82,6907.96,6542.08,6582.36,4654380000.00,118007000000.00,6582.36,0.7968,8260.993976
11/06/2018,6799.29,6910.18,6706.63,6906.92,4745270000.00,116175000000.00,6906.92,0.7952,8685.764588
10/06/2018,7499.55,7499.55,6709.07,6786.02,5804840000.00,128128000000.00,6786.02,0.7984,8499.524048
9/06/2018,7632.52,7683.58,7531.98,7531.98,3845220000.00,130386000000.00,7531.98,0.7984,9433.842685
8/06/2018,7685.14,7698.19,7558.40,7624.92,4227580000.00,131271000000.00,7624.92,0.7984,9550.250501
7/06/2018,7650.82,7741.27,7650.82,7678.24,4485800000.00,130671000000.00,7678.24,0.8025,9567.900312
6/06/2018,7625.97,7680.43,7502.01,7653.98,4692260000.00,130233000000.00,7653.98,0.7974,9598.67068
5/06/2018,7500.90,7643.23,7397.00,7633.76,4961740000.00,128081000000.00,7633.76,0.801,9530.287141
4/06/2018,7722.53,7753.82,7474.04,7514.47,4993170000.00,131847000000.00,7514.47,0.7926,9480.784759
3/06/2018,7632.09,7754.89,7613.04,7720.25,4851760000.00,130288000000.00,7720.25,0.7925,9741.640379
2/06/2018,7536.72,7695.83,7497.26,7643.45,4939300000.00,128645000000.00,7643.45,0.7925,9644.731861
1/06/2018,7500.70,7604.73,7407.34,7541.45,4921460000.00,128014000000.00,7541.45,0.7925,9516.025237
31/05/2018,7406.15,7608.90,7361.13,7494.17,5127130000.00,126386000000.00,7494.17,0.7935,9444.448645
30/05/2018,7469.73,7573.77,7313.60,7406.52,4922540000.00,127454000000.00,7406.52,0.7862,9420.656322
29/05/2018,7129.46,7526.42,7090.68,7472.59,5662660000.00,121636000000.00,7472.59,0.7906,9451.796104
28/05/2018,7371.31,7419.05,7100.89,7135.99,5040600000.00,125748000000.00,7135.99,0.7922,9007.813683
